person,id,id_type,gender,DOB,DOD,place_of_birth,field,education,affiliation,publications,membership_in_societies,awards_and_honors_received,image,notes,biography,relevant_links,collection,description,image_credit,image_notes
Jessie L. King,jessie-king-physiology,APS-WIS,F,1881,1956,,Physiology|Medicine,,,,,,,,"Jessie Luella King was an American physiologist. King was one of the first women to receive a doctorate in physiology in the United States, graduating from Cornell Medical College in 1911. King taught physiology at Goucher College, where she was colleagues with Lilian Welsh. While a student at Goucher College, Florence Seibert took courses from King. King's research concerned the physiology of menstruation and reproduction.",,George Washington Corner|H. S. Jennings|Florence Rena Sabin|Florence Barbara Seibert,"Dr. Jessie King, mentioned in letters to George Corner at UR, encourages King to apply for the ACA scholarship through the AAUW. Series I, Box 4 ""Corner, George Washington 1925-1938""",,
Nancy Kleckner,60897473,VIAF,F,1947,,,Molecular biology|Biology|Genetics,Harvard University|Massachusetts Institute of Technology,Princeton University|Harvard University,,Genetics Society of America|National Academy of Sciences|American Academy of Arts and Sciences|American Associaton for the Advancement of Sciences|American Academy of Microbiology,Genetics Society of America Medal|Thomas Hunt Morgan Medal,http://www.estherlederberg.com/EImages/Cold%20Spring%20Harbor/Nancy%20Kleckner%20David%20J%20Sherratt%201980.jpg,,"Nancy Kleckner is an American molecular biologist and geneticist. Currently, she is the Herchel Smith Professor of Molecular Biology at Harvard University and runs Harvard's Kleckner Laboratory. Kleckner received her PhD from MIT in 1974 with a dissertation on the role of bacteriophage lambda in plasmid formation. After a postdoc at Princeton, Kleckner joined Harvard's faculty. Her research concerns transposons and mutagenesis, in particular the mechanical processes that influence chromosomes. She has made important discoveries in the process of chromosome replication.",,Barbara McClintock,,"Nancy Kleckner and David J. Sherratt, Cold Spring Harbor Symposium, 1980. Esther M. Zimmer Lederberg Memorial Website",
Anita Klein,45812061,VIAF,F,,,,Biology|Biochemistry|Plant genetics|Genetics,Michigan State University,University of Wisconsin-Madison|University of New Hampshire,"Klein, Anita S., Arthur C. Mathieson, Christopher D. Neefus, Danielle F. Cain, Heather A. Taylor, Brian W. Teasdale, Andrew L. West et al. ""Identification of north-western Atlantic Porphyra (Bangiaceae, Bangiales) based on sequence variation in nuclear SSU and plastid rbc L genes."" <i>Phycologia</i> 42, no. 2 (2003): 109-122.|Klein, Anita S., David Montezinos, and Deborah P. Delmer. ""Cellulose and 1, 3-glucan synthesis during the early stages of wall regeneration in soybean protoplasts."" <i>Planta</i> 152, no. 2 (1981): 105-114.|Nelson, Oliver E., and Anita S. Klein. ""Characterization of an Spm-controlled bronze-mutable allele in maize."" <i>Genetics</i> 106, no. 4 (1984): 769-779.",,,,image credits,"Anita Klein is an American biologist and geneticist. Klein received her PhD from Michigan State University in 1981 with a dissertation on the enzymes involved in cell wall regeneration in soybean cells. Following that, she held a post-doc at the University of Wisconsin-Madison in the laboratory of Oliver Nelson. During this time, she began working on maize genetics and began her correspondence with Barbara McClintock. In 1985, Klein joined the department of biochemistry at the University of New Hampshire, where she is currently an associate professor emerita of biological sciences.",,Barbara McClintock,,"Anita S. Klein, College of Life Sciences and Agriculture, University of New Hampshire",https://colsa.unh.edu/sites/default/files/styles/portrait_600x900/public/person/2018/09/klein_anita_2018.jpg?itok=2QiKGNF9&timestamp=1537195495
Judith P. Klinman,61700069,VIAF,F,1941-04-17,,Philadelphia,Chemistry|Biochemistry|Molecular biology|Biology,University of Pennsylvania,Weizman Institute|University College London|Fox Chase Cancer Research Institute|University of Pennsylvania|University of California Berkeley,"Cai, Danying, and Judith P. Klinman. ""Evidence of a self-catalytic mechanism of 2, 4, 5-trihydroxyphenylalanine quinone biogenesis in yeast copper amine oxidase."" <i>Journal of Biological Chemistry</i> 269, no. 51 (1994): 32039-32042.|Mure, Minae, and Judith P. Klinman. ""Model studies of topaquinone-dependent amine oxidases. 2. Characterization of reaction intermediates and mechanism."" <i>Journal of the American Chemical Society</i> 117, no. 34 (1995): 8707-8718.|Klinman, Judith P. ""The multi-functional topa-quinone copper amine oxidases."" <i>Biochimica et Biophysica Acta (BBA)-Proteins and Proteomics</i> 1647, no. 1-2 (2003): 131-137.",American Academy of Arts and Sciences|National Academy of Sciences|American Philosophical Society|American Association for the Advancement of Science|Royal Society of Chemistry|American Chemical Society,Guggenheim Fellowship|Merck Award (American Society of Biochemistry and Molecular Biology)|National Medal of Science|Mildred Cohn Award in Biological Chemistry,https://upload.wikimedia.org/wikipedia/commons/6/6a/Judith-klinman.png,APS member image may be better,"Judith Klinman's research focuses on the multifaceted roles of proteins and enzymes. In 2014, President Barack Obama awarded her the President's National Medal of Science. She has also won the Mildred Cohn Award in Biological Chemistry and the Willard Gibbs Award from the American Chemical Society. She has been elected to the American Society of Biochemistry, the Royal Society of Chemistry and the American Association for the Advancement of Science.",https://en.wikipedia.org/wiki/Judith_Klinman,Mildred Cohn,"Cohn nominated Klinman for the Weizmann Women & Science Award in 2001, she also nominated her for the ""Agnes Fay Morgan Research Award of Iota Sigma PI"" in 1978m and for promotion at the Institute for Cancer Research in 1977. Also has Klinman's articles in her papers.","Judith Klinman receives the National Medal of Science from U.S. President Barack Obama on Nov. 20, 2014, U. S. White House.",
Ruth Kundsin,47082718,VIAF,F,1916-07-30,2020-11-26,New York City,Microbiology|Biology|Public health|Epidemiology,Hunter College|Boston University|Harvard University,Harvard University,,,,,,"Ruth Kundsin was a microbiologist and Associate Professor of Microbiology and Molecular Genetics at Harvard Medical School. Kundsin's scientific contributions to the field of microbiology, specifically her research on airborne pathogens, led to important changes in hospitals and operating rooms that are still followed to this day. She published over 150 scholarly articles and five books. Kundsin was also a Fellow in the American Academy of Microbiology as well as the New York Academy of Sciences.",https://www.legacy.com/us/obituaries/bostonglobe/name/ruth-kundsin-obituary?id=8613320,Florence Barbara Seibert,"Ruth Kundsin, Peter Bent Brigham Hospital, Boston. Corresponds with Seibert, who asks Kundsin to collaborate with her on the work to find ""bugs"" in cancer cells. Kundsin declines because she feels she has too much work going on.",,https://www.gannett-cdn.com/-mm-/de693750919eba022e2054f3a95d75374c5b9b2b/c=0-125-2850-1728/local/-/media/2020/11/03/Quincy/ghows-WL-200728307-becc1e70.jpg?width=660&height=372&fit=crop&format=pjpg&auto=webp
Margaret Herrman Kurbatov,margaret-kurbatov-chemistry,APS-WIS,F,1903-03-17,1996-01-09,"Worthington, OH",Chemistry,Ohio State University|University of Chicago,Ohio State University,"Kurbatov, M. H., and J. D. Kurbatov. <i>Study of complex beta decay spectra. Report No. 5. Final Report, October 1, 1956-September 30, 1961</i>. No. TID-18567. Ohio State Univ. Research Foundation, Columbus, OH (United States), 1963.|Egloff, Gustav, Margaret Herrman, Badona L. Levinson, and Malcolm F. Dull. ""Thermal Reactions of Terpene Hydrocarbons."" <i>Chemical Reviews</i> 14, no. 3 (1934): 287-383.",,,,,"Margaret Herrman Kurbatov was an American chemist. She received her PhD from the University of Chicago in chemistry in 1931 with a dissertation on isomerism. In 1945, she began working at Ohio State University and was instrumental in establishing radiochemistry as a special concentration of the department. She retired in 1961 and both she and her husband Joann Ivan D. Kurbatov moved to Victoria, BC. Kurbatov and her husband, a professor of physics, collaborated on numerous projects, including a study of complex beta decay spectra commissioned by the U.S. Atomic Energy Commission. Both were close friends of Rose Mooney-Slater.",https://www.wikidata.org/wiki/Q93958771,Rose Mooney-Slater,"It seems RMS was possibly Ivan's professor? Or at least he called her professor. Margaret (Peg) and RMS are very friendly and share lists of chemicals in each other's labs. Margaret worked for the Ohio State University as a research technician, but also taught, one letter listing very large lectures.",,
Henrietta Lacks,96737226,VIAF,F,1920-08-01,1951-10-04,"Roanoke, VA",,,,,,,,,"Henrietta Lacks was a Black woman whose cancer cells are the source of HeLa cell line, the first immortalized cell line and one of the most important cell lines in medical research. Lacks was unknowingly the source of these cells from a tumor biopsied during treatment for cervical cancer at Johns Hopkins Hospital. HeLa cells appear in the network when Irene Diller uses them to draw an image of a tumor. She also writes that she advised a colleague, ""I warned him that the cancer cells he was using (HeLa and HEP2) have been transferred so many times through so many laboratories that there is no telling what they may have picked up (August 6, 1963).""",https://en.wikipedia.org/wiki/Henrietta_Lacks,Florence Barbara Seibert,,,https://upload.wikimedia.org/wikipedia/en/d/d7/Henrietta_Lacks_%281920-1951%29.jpg
Rebecca Lancefield,194154196756120110412,VIAF,F,1895-01-05,1981-03-03,,Microbiology|Bacteriology|Biology,Wellesley College|Columbia College,,"Lancefield, Rebecca C.; Metz, Charles W. (1921-08-01). ""Non-Disjunction and the Chromosome Relationships of Drosophila willistoni"". Proceedings of the National Academy of Sciences. 7 (8): 225–229. Lancefield RC (1933). ""A serological differentiation of human and other groups of hemolytic streptococci"". J Exp Med. 57 (4): 571–95. doi:10.1084/jem.57.4.571. PMC 2132252. PMID 19870148.","Society of American Bacteriologists, American Association of Immunologists, National Acadamy of Sciences","Honorary Doctor of Science (Rockefeller University), T. Duckett Jones Award of the Helen Hay Whitney Foundation, American Heart Association Achievement Award, Medal of the New York Acadamy of Medicine",https://upload.wikimedia.org/wikipedia/commons/e/ee/Maclyn_McCarty_%285493933573%29_%28cropped%29.jpg,,"Rebecca Lancefield was an American microbiologist. Lancefield worked at the Rockefeller Institute for Medical Research for nearly her entire career, joining their staff as a research assistant in 1918. Her research concerned the bacterial genus <i>Streptococcus</i>, the members of which cause a range of diseases including strep throat, pink eye, and meningitis. Lancefield's research into streptococci led her to devise a classification system for the bacteria. This system, called the Lancefield grouping, allowed researchers to separate the streptococci that infected humans from those that only affected animals. Lancefield held numerous honors. She was the second woman president of the Society of American Bacteriologists and the first woman president of the American Association of Immunologists. She was additionally elected to the National Academy of Sciences in 1970.",https://en.wikipedia.org/wiki/Rebecca_Lancefield,Rufus Ivory Cole|Simon Flexner|Eugene Opie|Peyton Rous|Florence Rena Sabin,"Dr. Rebecca Lansefield (or Lancefield), Rockefeller Institute, bacteriologist working on streptcocci important for puerperal fever - studied in the department of Homer Swift at Rockefeller. Found in Anna E. Holman folder, Series 1, Box 11","Detail from Walter Bauer, Rebecca Price Craighill Lancefield (1895-1981), and Macyln McCarty, Smithsonian Institution Archives, Accession 90-105, Science Service Records, Image No. SIA2008-5069.",
Priscilla Lane,priscilla-lane-genetics,APS-WIS,F,1921-03-17,2019-03-08,"Malden, MA",Genetics|Biology|Physiology,Boston University|Claremont Graduate University|University of California Berkeley,Jackson Laboratory,"Lane Priscilla W., Dickie Margaret M. ""Three recessive mutations producing disproportionate dwarfing in mice: achondroplasia, brachymorphic, and stubby."" <i>Journal of Heredity</i> 59, no. 5 (1968): 300-8.|Lane, Priscilla W., and Margaret M. Dickie. ""Fertile, obese male mice: relative sterility in obese males corrected by dietary restriction."" Journal of Heredity 45, no. 2 (1954): 56-58.|Lane, Priscilla W., and Margaret C. Green. ""Mahogany, a recessive color mutation in linkage group V of the mouse."" <i>Journal of Heredity</i> 51 (1960): 228-230.",,,,,"Priscilla (""Skippy"") Lane was an American genetics researcher. Lane was originally trained to teach physical education, teaching the subject in California and and New Hampshire in the 1940s. However, following the death of her husband in World War II, Lane sought out additional education, receiving an MS in Physiology from the University of California Berkeley in 1950. The following year she began working at the Jackson Laboratory in Bar Harbor, Maine, as a research associate. She became interested in the Bar Harbor Mice and studied tumor formations. Lane worked at the Jackson Laboratory for 56 years and coauthored numerous papers on mouse genetics.",,Jackson Laboratory Oral History,,,
Aviva Lapidot,297932822,VIAF,F,1932,2018-09-13,Tel Aviv,Chemistry,Hebrew University|Weizmann Institute of Science,Weizmann Institute of Science,"Lapidot, Aviva, and Asher Gopher. ""Cerebral metabolic compartmentation. Estimation of glucose flux via pyruvate carboxylase/pyruvate dehydrogenase by 13C NMR isotopomer analysis of D-[U-13C] glucose metabolites."" <i>Journal of Biological Chemistry</i> 269, no. 44 (1994): 27198-27208.|Lapidot, Aviva, Veerappan Vijayabaskar, Alexander Litovchick, Jingua Yu, and Thomas L. James. ""Structure–activity relationships of aminoglycoside-arginine conjugates that bind HIV-1 RNAs as determined by fluorescence and NMR spectroscopy."" <i>FEBS letters</i> 577, no. 3 (2004): 415-421.|Lapidot, Aviva, Nava Baran, and Haim Manor. ""(dT-dC) n and (dG-dA) n tracts arrest single stranded DNA replication in vitro."" <i>Nucleic acids research</i> 17, no. 3 (1989): 883-900.",,,,Image credits,"Aviva Lapidot was an Israeli chemist. Lapidot studied at the Hebrew University in Jerusalem and was one of only four women in her class who chose to study chemistry. In the mid-1950s, Lapidot received her first job in chemical research, assuming a research assistantship in the Isotope Department of the Weizmann Institute for Science in Rehovot, Israel. She was encouraged by her supervisor to write a PhD thesis, but the Weizmann Institute was not able to grant them at the time. In 1961, she received her PhD from the Hebrew University, although the work was done at the Weizmann Institute. In 1968, Lapidot received a position at the Weizmann Institute as a PI and began conducting her own research using non-radioactive isotopes and nuclear magnetic resonance. Lapidot remained at the Weizmann Institute until her death in 2018, publishing on cancer and HIV/AIDS.",,Mildred Cohn,Cohn recommends Lapidot for promotion at The Weizmann Institute of Science in Israel in 1969. In 1985 she recommends her again for promotion to full professor (but the decision was postponed) and in 1988 Cohn renews her recommendation,"Aviva Lapidot in the laboratory, Weizmann Wonder Wander, Weizmann Institute of Science",https://wis-wander.weizmann.ac.il/sites/default/files/Lapidot_2_0.jpg
Eva Soto Figueroa Leake,eva-leake-microbiology,APS-WIS,F,,,"Veracruz, Mexico",Microbiology|Biology|Chemistry|Bacteriology|Pathology,,University of Virginia|Wake Forest School of Medicine|Bowman Gray,,,,,,"Eva Soto Figueroa earned a degree in Chemistry, specializing in Bacteriology from the Escuela Nacional de Ciencias Biologicas, a part of the Institute Politecnico Nacional in Mexico. Under the advisement of Eugenia Cardona Lynch, Soto reached out to Florence Seibert hoping to study with her in 1951. Soto worked alongside Lynch at the Sanitario Hospital ""Dr. Manuel Gea Gonzalez"" in the Department of Pathology. After Lynch unexpectedly died in 1951, Seibert continued to do all she can to help Soto come to the US and study with her, including reaching out to funding agencies who might offer a fellowship for Soto, who while guaranteed money from the State Department for a fellowship, had to wait for nearly four months to finally be paid due to bureaucratic backlog. In 1952, Soto undertook graduate study at the University of Pennsylvania under Seibert's direction and worked as a research technician. Seibert recommended Soto for many opportunities, including indexing journals and membership in Sixma Xi. She married Keith Leake and took a position at Wake Forest College in North Carolina.",https://www.legacy.com/us/obituaries/winstonsalem/name/eva-leake-obituary?id=33534653,Florence Barbara Seibert,"from Mexico. Went to Institute Politecnico Nacional in Mexico and became a doctor. She married T. Keith Leake in 1963 and then worked at Wake Forest College in NC. She made the electron micrographs in the book by Weiser, Myrvik and Pearsall (pp 314-317) which she sent to Seibert as a gift. Series I, Box 4. She is also connecte to Dr. Eugenia Cardona Lynch - who shared Seibert's reprints with Leake and facilitated the connection. Unfortunately, Lynch died in 1951 just after introducing Leake to Seibert.",,"letter in Leake, Eva S. folder dated une 25th, 1951; also possible to use letter dated Jan. 4, 1966 where Seibert recommends Leake to Wake Forest Colelge"
Elise S. L'Esperance,elise-lesperance-pathology,APS-WIS,F,1878,1959,,Pathology|Medicine,,Cornell University,,,,https://upload.wikimedia.org/wikipedia/commons/7/71/Elise_Depew_Strang_LEsperance_%281878-1959%29_%286891461167%29.jpg,,"Elise Depew Strang L'Esperance founded the first cancer treatment clinic focused on women. She studied Hodgkins Disease and its linkage to tuberculosis, which led her to study cancer. This in turn led to significant developments in efforts to prevent cancer. In 1951 she was a joint recipient, along with Catherine Macfarlane, of the Lasker Clinical Medical Research Award.",https://en.wikipedia.org/wiki/Elise_L%27Esperance,James Bumgardner Murphy|Florence Rena Sabin,L'Esprence's research focused on how to prevent cancer. She became professor of pathology at Cornell,"L'Esperance, Elise Depew Strang, 1951, Smithsonian Institution Archives, Accession 90-105, Science Service Records, Image No. SIA2008-5264.",
Norma LeVeque,norma-leveque-biology,APS-WIS,F,1892,1963,,Biology|Zoology,,,,,,,,"Norma LeVeque was an American biologist. She was a professor of biology at the University of Colorado Boulder, where she also completed her studies in zoology. Her research concerned carpenter bees and their symbiotic relationship with a particular species of mite.",,Bentley Glass|Florence Rena Sabin,Norma LeVoque - applies to Naples Table. Studying zoology at University of Colorado - made copies of a recommendation and letter describing her work.,,
Rita Levi-Montalcini,85738872,VIAF,F,1909-04-22,2012-12-30,Turin,Biology|Molecular biology|Cellular biology|Embryology,University of Turin,University of Turin|Washington University in St. Louis,"Levi-Montalcini, Rita, and Pietro U. Angeletti. ""Nerve growth factor."" <i>Physiological Reviews</i> 48, no. 3 (1968): 534-569.|Levi-Montalcini, Rita, and Barbara Booker. ""Destruction of the sympathetic ganglia in mammals by an antiserum to a nerve-growth protein."" <i>Proceedings of the National Academy of Sciences</i> 46, no. 3 (1960): 384-391.|Levi-Montalcini, Rita, Hertha Meyer, and Viktor Hamburger. ""In vitro experiments on the effects of mouse sarcomas 180 and 37 on the spinal and sympathetic ganglia of the chick embryo."" <i>Cancer research</i> 14, no. 1 (1954): 49-57.",American Academy of Arts and Sciences|European Molecular Biology Organization|National Academy of Sciences|American Philosophical Society|Royal Society,Louisa Gross Horwitz Prize|National Medal of Science|Nobel Prize in Physiology or Medicine|Leonardo da Vinci Award (European Academy of Sciences),,image: fair use claim,"Rita Levi-Montalcini did revolutionary research in neuroembryology, despite the overwhelming obstacle of living as a Jewish woman in fascist Italy. She spent parts of the 1930s in hiding and was unable to work in a university lab as a result of Mussolini's Race Laws; however, she refused to give up her research and set up a small lab inside her bedroom. After the war, she was recruited to work as a doctor before returning to lab work. At Washington University in Saint Louis, Missouri, she discovered Nerve Growth Factor, which opened many doors for the treatment of cancer, dementia, multiple sclerosis, schizophrenia, and Alzheimer's. Alongside Stanley Cohen, Levi-Montalcini won the 1986 Nobel Prize in Physiology or Medicine for the discovery of nerve growth factor. She was dedicated to ensuring that other scientists would have the resources and support they needed, so she founded and directed the Institute of Cell Biology, founded the European Brain Research Institute, and established the Rita Levi-Montalcini Foundation to help support the education of African women. She was also elected to hold a lifelong Senate position in Italy in 2001.",https://en.wikipedia.org/wiki/Rita_Levi-Montalcini,Britton Chance|Mildred Cohn|Salvador E. Luria,Levi-Montalcini and Cohn seemed to be friendly in 1964 aroun the time that Levi-Montalcini gave a talk at the Johnson Foundation. She is from Instituto Superiore di Sanita in Rome.,"Rita Levi-Montalcini, [1975]. Bernard Becker Medical Library, Washington University School of Medicine.",https://upload.wikimedia.org/wikipedia/en/7/78/Rita_Levi-Montalcini_bandw.jpg
Margaret Reed Lewis,240455520,VIAF,F,1881-11-09,1970-07-20,"Kittanning, PA",Biology|Cellular biology|Embryology|Cancer research,Goucher College|Women's College of Baltimore|Bryn Mawr College|Columbia University|University of Zurich|University of Paris|Humboldt University of Berlin,Carnegie Institute of Washington|Wistar Institute,,,,https://upload.wikimedia.org/wikipedia/commons/a/a8/Margaret_Reed_Lewis_%281881-1970%29.jpg,,"Margaret Reed Lewis was a cytologist and embryologist. She was likely the first person to grow mammalian tissue <i>in vitro</i> during an experiment conducted in collaboration with Rhoda Erdmann in 1908. Together with her husband Warren Lewis, she developed a clear medium for cell growth known as the Locke-Lewis solution. She also made important contributions to cancer research. In 1951, she isolated a tumor in a mouse lung, which became the first transplantable tumor. This furthered the development of tumor models. Lewis worked collaboratively with her husband for nearly all of her career.",https://en.wikipedia.org/wiki/Margaret_Reed_Lewis,George Washington Corner|Simon Flexner|H. S. Jennings|Warren H. Lewis|Peyton Rous|Florence Rena Sabin|Florence Barbara Seibert,"Margaret Reed Lewis, bio in papers, copied. But brief bio is graduated from Goucher in 1901, went on to Bryn Mawr, studied at University of Zurich, Konigliches Institut fur Infections-Krankheiten, worked as ""Asst. In Zoology"" Columbia University, Lecturer in Physiology at NY Medical College for Women, and Barnard College, worked as researcher (witout salary) at Johns Hopkins Medical School, recieved a scholarship to Woods Hole Marine Laboratory, ""Investigator"" at Mount Desert Island Biological Laboratory. Has 96 publications on topics such as cytology of living cells in tissue culture, cancer, ultramicroscopic viruses.","Margaret Reed Lewis, Smithsonian Institution Archives, Accession 90-105, Science Service Records, Image No. SIA2008-5298.",
Edith Lincoln,2896148997680459870000,VIAF,F,1899,1991,,Medicine|Pediatrics|Tuberculosis research,Johns Hopkins University,New York University,Tuberculosis in Children (1963),,Elizabeth Blackwell Award|Trudeau Medal,,,"Dr. Edith Lincoln was a physician best known for founding the pediatric pulmonology unit at Bellevue Hospital, which was dedicated to treating tuberculosis. She conducted a study on around 3000 pediatric tuberculosis patients, one of the largest studies of tuberculosis at the time. She received her medical degree from Johns Hopkins School of Medicine. For her achievements, she received the Elizabeth Blackwell Award in 1951 and the National Tuberculosis Association's Trudeau Medal in 1959.",https://en.wikipedia.org/wiki/Edith_Lincoln,Florence Barbara Seibert,"Trudeau Medal recipient. Part of the National Tuberculosis Association. Series I, Box 4",,
Virginia Livingston,57991060,VIAF,F,1906,1990,"Meadville, PA",Medicine|Cancer research,Vassar College|New York University|Bellevue Medical College,,,,,,,"Virginia Livingston was an American physician and cancer researcher who corresponded with Florence Seibert, Irene Diller, and Eleanor Alexander-Jackson about a possible bacterial or fungal cause for cancer. Of all these researchers, Livingston's legacy has fared the worst, with her research findings being categorically dismissed by most cancer researchers. Livingston spent much of her career seeking a specific bacterial species, which she called <i>Progenitor cryptocides</i>, that caused cancer. She even sought to produce a vaccine for cancer, but her trials produced no results.",https://en.wikipedia.org/wiki/Virginia_Livingston,Florence Barbara Seibert,"supports Diller and Siebert in their findings/claims about the idea of ""bugs"" or ""germs"" in cancer cells.",,https://upload.wikimedia.org/wikipedia/en/2/29/Virginia_Livingston.png
Esmond R. Long,92247013,VIAF,M,1890-06-16,1979-11-11,,Pathology|Medicine|Chemistry|Tuberculosis research,,,,,,,,"Esmond Long was an American pathologist. He received his PhD from the University of Chicago in 1918 and his MD from Rush Medical School in 1926. Long was appointed professor of pathology at the University of Chicago in 1928. In 1932, he moved to Philadelphia to become director of the Henry Phipps Institute at the University of Pennsylvania. Long was a noted tuberculosis research and collaborated with both Florence Sabin and Florence Seibert. He contributed to Florence Seibert's isolation of the tuberculin protein.",,Florence Rena Sabin|Florence Barbara Seibert,he seems to have been immensely supportive to both Sabin and Seibert. He and Seibert correspond for 30+ years,,
Kathleen Lonsdale,66553571,VIAF,F,1903-01-28,1971-04-01,"Newbridge, Ireland",Crystallography|Chemistry|Physics,Bedford College|University College London|University of London,Royal Institution of Great Britain|University of Leeds,,Royal Society|International Union of Crystallography,,https://upload.wikimedia.org/wikipedia/commons/2/2f/Kathleen_Yardley_Lonsdale_%281903-1971%29.jpg,,"Dame Kathleen Lonsdale was an x-ray crystallographer who is most known for her discovery that the organic molecule benzene is flat. Born in Ireland, her mother left her alcoholic father when Lonsdale was five and moved with her children to England. Lonsdale studied at Bedford College and University College London, earning degrees in physics. In 1924, she began working as a crystallographer as a part of William Bragg's team at the Royal Institution. Aside from her discovery of the structure of benzene, she also was one of the first scientists to use Fourier spectral methods to research the structure of matter. In 1945, she became one of the first women to be elected a Fellow of the Royal Society.",,A. Lindo Patterson|Jenny Glusker|John Clarke Slater,,"Kathleen Lonsdale, 1968, Smithsonian Institution Archives, Accession 90-105, Science Service Records, Image No. SIA2008-5424.",
Patrizia LoPresti,patrizia-lopresti-psychology,APS-WIS,F,1958,,,Biochemistry|Biophysics|Psychology|Neurology,,State University of New York at Stony Brook|Northwestern University|University of Illinois at Chicago,"LoPresti, Patrizia, and Mildred Cohn. ""Direct determination of creatine kinase equilibrium constants with creatine or cyclocreatine as substrate."" <i>Biochimica et Biophysica Acta (BBA)-Protein Structure and Molecular Enzymology</i> 998, no. 3 (1989): 317-320.|Lopresti, Patrizia, and Sheryl A. Scottt. ""Target specificity and size of avian sensory neurons supported in vitro by nerve growth factor, brain‐derived neurotrophic factor, and neurotrophin‐3."" <i>Journal of Neurobiology</i> 25, no. 12 (1994): 1613-1624.|LoPresti, Patrizia, Wojciech Poluha, Dorota K. Poluha, E. Drinkwater, and A. H. Ross. ""Neuronal differentiation triggered by blocking cell proliferation."" <i>Cell Growth and Differentiation</i> 3 (1992): 627-627.",,,,,"Patrizia Lopresti held professorships at Northwestern and the University of Illinois at Chicago in the departments of neurology, physiology, biophysics, and psychology. Her most significant scientific contributions have concerned the study of multiple sclerosis. She was a postdoctoral researcher in Mildred Cohn's lab, and Cohn supported her both in her job search and in her applications for permanent resident status in the United States. Lopresti's research has also touched on the cytoskeleton in oligodendrocytes and multiple sclerosis, and she furthered scientific knowledge about cognitive decline in multiple sclerosis.",,Mildred Cohn,Lo Presti's articles are in Cohn's papers,,
Brenda Lowe,29265968,VIAF,F,1955,,,Genetics|Biology|Plant genetics,,Cold Spring Harbor Laboratory|Monsanto,"Lowe, Brenda A., N. Shiva Prakash, Melissa Way, Michael T. Mann, T. Michael Spencer, and Raghava S. Boddupalli. ""Enhanced single copy integration events in corn via particle bombardment using low quantities of DNA."" <i>Transgenic research</i> 18, no. 6 (2009): 831-840.|Lowe, Brenda A., Melissa M. Way, Jennifer M. Kumpf, Jyoti Rout, Dave Warner, Richard Johnson, Charles L. Armstrong, Michael T. Spencer, and Paul S. Chomet. ""Marker assisted breeding for transformability in maize."" <i>Molecular Breeding</i> 18, no. 3 (2006): 229-239.|Lowe, Brenda Ann, and William Robert Krul. ""Physical, chemical, developmental, and genetic factors that modulate the Agrobacterium-Vitis interaction."" <i>Plant physiology</i> 96, no. 1 (1991): 121-129.",,,,,"Brenda Lowe is an American geneticist working in maize genetics. Lowe was a student and postdoc at Cold Spring Harbor Laboratory, where she worked with Barbara McClintock. McClintock supplied her with genetic stock and wrote her letters of recommendation for the next stages of her career. Lowe ended up at Monsanto, where she worked in research on genetically modified crops. She has helped author numerous patents.",,Barbara McClintock,,,
Martha L. Ludwig,martha-ludwig-biochemistry,APS-WIS,F,1931-08-16,2006-11-27,Pittsburgh,Biology|Biochemistry|Crystallography,Cornell University|University of California Berkeley|Cornell University Medical College,Harvard Universiy|University of Michigan,"Ludwig, Martha L., and Rowena G. Matthews. ""Structure-based perspectives on B12-dependent enzymes."" <i>Annual review of biochemistry</i> 66, no. 1 (1997): 269-313.|Ludwig, Martha L., Anita L. Metzger, Katherine A. Pattridge, and William C. Stallings. ""Manganese superoxide dismutase from Thermus thermophilus: a structural model refined at 1.8 Å resolution."" <i>Journal of molecular biology</i> 219, no. 2 (1991): 335-358.|Ludwig, Martha L., Katherine A. Pattridge, Anita L. Metzger, Melinda M. Dixon, Mesut Eren, Yucheng Feng, and Richard P. Swenson. ""Control of oxidation− reduction potentials in flavodoxin from Clostridium beijerinckii: The role of conformation changes."" <i>Biochemistry</i> 36, no. 6 (1997): 1259-1280.",National Academy of Sciences,,,,"Martha Ludwig was an American biochemist and crystallographer. Receiving her PhD from Cornell Medical College in 1956, Ludwig was trained in traditional biochemical techniques of studying interactions between proteins. She first learned about x-ray crystallography in 1962 and immediately began using the technique. While working with William Lipscomb, she helped explain the structures of carboxypeptidase A, the first protein structure to be determined in the United States. In 1967, Ludwig received a professorship in Biological Chemistry at the University of Michigan. Here, she researched flavoproteins, elucidating the structure of several compounds.",https://en.wikipedia.org/wiki/Martha_L._Ludwig,Mildred Cohn,Ludwig is at the University of Michigan Institute of Science and Technology,"Martha L. Ludwig, Regents of the University of Michigan.",https://upload.wikimedia.org/wikipedia/en/d/db/Martha_Ludwig.jpg
